Fold 1 for k=5,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
[27.0, 21.0, 28.0, 33.0, 30.0]
Iteration 279. I-divergence: 1490.18920928. MSE: 0.768675856623.
Iteration 280. I-divergence: 1490.02879656. MSE: 0.768591486378.
Iteration 281. I-divergence: 1489.86832301. MSE: 0.768507083063.
Iteration 282. I-divergence: 1489.70778871. MSE: 0.76842264673.
Iteration 283. I-divergence: 1489.54719378. MSE: 0.768338177433.
Iteration 284. I-divergence: 1489.38653831. MSE: 0.768253675223.
Iteration 285. I-divergence: 1489.22582241. MSE: 0.768169140156.
Iteration 286. I-divergence: 1489.06504618. MSE: 0.768084572283.
Iteration 287. I-divergence: 1488.90420972. MSE: 0.767999971662.
Iteration 288. I-divergence: 1488.74331314. MSE: 0.767915338345.
Iteration 289. I-divergence: 1488.58235655. MSE: 0.76783067239.
Iteration 290. I-divergence: 1488.42134006. MSE: 0.767745973853.
Iteration 291. I-divergence: 1488.26026377. MSE: 0.76766124279.
Iteration 292. I-divergence: 1488.09912779. MSE: 0.767576479258.
Iteration 293. I-divergence: 1487.93793224. MSE: 0.767491683317.
Iteration 294. I-divergence: 1487.77667722. MSE: 0.767406855024.
Iteration 295. I-divergence: 1487.61536285. MSE: 0.767321994438.
Iteration 296. I-divergence: 1487.45398925. MSE: 0.76723710162.
Iteration 297. I-divergence: 1487.29255652. MSE: 0.767152176629.
Iteration 298. I-divergence: 1487.13106479. MSE: 0.767067219526.
Iteration 299. I-divergence: 1486.96951416. MSE: 0.766982230373.
Iteration 300. I-divergence: 1486.80790477. MSE: 0.766897209232.
Iteration 301. I-divergence: 1486.64623672. MSE: 0.766812156166.
Iteration 302. I-divergence: 1486.48451014. MSE: 0.766727071238.
Iteration 303. I-divergence: 1486.32272515. MSE: 0.766641954512.
Iteration 304. I-divergence: 1486.16088187. MSE: 0.766556806052.
Iteration 305. I-divergence: 1485.99898043. MSE: 0.766471625924.
Iteration 306. I-divergence: 1485.83702094. MSE: 0.766386414193.
Iteration 307. I-divergence: 1485.67500354. MSE: 0.766301170925.
Iteration 308. I-divergence: 1485.51292835. MSE: 0.766215896188.
Iteration 309. I-divergence: 1485.35079551. MSE: 0.76613059005.
Iteration 310. I-divergence: 1485.18860513. MSE: 0.766045252578.
Iteration 311. I-divergence: 1485.02635735. MSE: 0.765959883842.
Iteration 312. I-divergence: 1484.8640523. MSE: 0.765874483911.
Iteration 313. I-divergence: 1484.70169012. MSE: 0.765789052855.
Iteration 314. I-divergence: 1484.53927093. MSE: 0.765703590746.
Iteration 315. I-divergence: 1484.37679488. MSE: 0.765618097655.
Iteration 316. I-divergence: 1484.21426209. MSE: 0.765532573654.
Iteration 317. I-divergence: 1484.05167271. MSE: 0.765447018815.
Iteration 318. I-divergence: 1483.88902688. MSE: 0.765361433214.
Iteration 319. I-divergence: 1483.72632473. MSE: 0.765275816923.
Iteration 320. I-divergence: 1483.5635664. MSE: 0.765190170018.
Iteration 321. I-divergence: 1483.40075204. MSE: 0.765104492575.
Iteration 322. I-divergence: 1483.2378818. MSE: 0.765018784669.
Iteration 323. I-divergence: 1483.07495581. MSE: 0.764933046378.
Iteration 324. I-divergence: 1482.91197422. MSE: 0.76484727778.
Iteration 325. I-divergence: 1482.74893718. MSE: 0.764761478952.
Iteration 326. I-divergence: 1482.58584483. MSE: 0.764675649975.
Iteration 327. I-divergence: 1482.42269734. MSE: 0.764589790928.
Iteration 328. I-divergence: 1482.25949484. MSE: 0.764503901891.
Iteration 329. I-divergence: 1482.0962375. MSE: 0.764417982946.
Iteration 330. I-divergence: 1481.93292546. MSE: 0.764332034174.
Iteration 331. I-divergence: 1481.76955888. MSE: 0.764246055659.
Iteration 332. I-divergence: 1481.60613792. MSE: 0.764160047485.
Iteration 333. I-divergence: 1481.44266273. MSE: 0.764074009735.
Iteration 334. I-divergence: 1481.27913347. MSE: 0.763987942494.
Iteration 335. I-divergence: 1481.11555031. MSE: 0.763901845848.
Iteration 336. I-divergence: 1480.9519134. MSE: 0.763815719883.
Iteration 337. I-divergence: 1480.78822291. MSE: 0.763729564687.
Iteration 338. I-divergence: 1480.624479. MSE: 0.763643380348.
Iteration 339. I-divergence: 1480.46068185. MSE: 0.763557166955.
Iteration 340. I-divergence: 1480.29683161. MSE: 0.763470924597.
Iteration 341. I-divergence: 1480.13292845. MSE: 0.763384653364.
Iteration 342. I-divergence: 1479.96897255. MSE: 0.763298353348.
Iteration 343. I-divergence: 1479.80496407. MSE: 0.76321202464.
Iteration 344. I-divergence: 1479.6409032. MSE: 0.763125667334.
Iteration 345. I-divergence: 1479.47679009. MSE: 0.763039281522.
Iteration 346. I-divergence: 1479.31262494. MSE: 0.762952867299.
Iteration 347. I-divergence: 1479.14840792. MSE: 0.76286642476.
Iteration 348. I-divergence: 1478.9841392. MSE: 0.762779954001.
Iteration 349. I-divergence: 1478.81981896. MSE: 0.762693455119.
Iteration 350. I-divergence: 1478.6554474. MSE: 0.76260692821.
Iteration 351. I-divergence: 1478.49102468. MSE: 0.762520373375.
Iteration 352. I-divergence: 1478.326551. MSE: 0.762433790711.
Iteration 353. I-divergence: 1478.16202654. MSE: 0.762347180319.
Iteration 354. I-divergence: 1477.99745149. MSE: 0.7622605423.
Iteration 355. I-divergence: 1477.83282604. MSE: 0.762173876755.
Iteration 356. I-divergence: 1477.66815038. MSE: 0.762087183787.
Iteration 357. I-divergence: 1477.5034247. MSE: 0.762000463499.
Iteration 358. I-divergence: 1477.33864919. MSE: 0.761913715996.
Iteration 359. I-divergence: 1477.17382406. MSE: 0.761826941383.
