Fold 1 for k=10,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
Iteration: 16.
Iteration: 17.
Iteration: 18.
[132.0, 4.0, 29.0, 59.0, 10.0, 72.0, 131.0, 34.0, 81.0, 70.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
[32.0, 2.0, 28.0, 23.0, 54.0]
Iteration 305. I-divergence: 1408.12908595. MSE: 0.725520830764.
Iteration 306. I-divergence: 1407.87078877. MSE: 0.725384487425.
Iteration 307. I-divergence: 1407.61327537. MSE: 0.725248558111.
Iteration 308. I-divergence: 1407.35654383. MSE: 0.725113041826.
Iteration 309. I-divergence: 1407.10059214. MSE: 0.72497793755.
Iteration 310. I-divergence: 1406.84541827. MSE: 0.724843244241.
Iteration 311. I-divergence: 1406.59102015. MSE: 0.724708960833.
Iteration 312. I-divergence: 1406.33739565. MSE: 0.724575086238.
Iteration 313. I-divergence: 1406.08454263. MSE: 0.724441619346.
Iteration 314. I-divergence: 1405.83245888. MSE: 0.724308559025.
Iteration 315. I-divergence: 1405.58114217. MSE: 0.72417590412.
Iteration 316. I-divergence: 1405.33059022. MSE: 0.724043653458.
Iteration 317. I-divergence: 1405.08080072. MSE: 0.723911805841.
Iteration 318. I-divergence: 1404.83177131. MSE: 0.723780360055.
Iteration 319. I-divergence: 1404.58349961. MSE: 0.723649314861.
Iteration 320. I-divergence: 1404.33598318. MSE: 0.723518669003.
Iteration 321. I-divergence: 1404.08921957. MSE: 0.723388421206.
Iteration 322. I-divergence: 1403.84320629. MSE: 0.723258570173.
Iteration 323. I-divergence: 1403.5979408. MSE: 0.723129114591.
Iteration 324. I-divergence: 1403.35342053. MSE: 0.723000053126.
Iteration 325. I-divergence: 1403.10964289. MSE: 0.722871384428.
Iteration 326. I-divergence: 1402.86660525. MSE: 0.722743107128.
Iteration 327. I-divergence: 1402.62430494. MSE: 0.722615219838.
Iteration 328. I-divergence: 1402.38273928. MSE: 0.722487721156.
Iteration 329. I-divergence: 1402.14190553. MSE: 0.722360609661.
Iteration 330. I-divergence: 1401.90180095. MSE: 0.722233883915.
Iteration 331. I-divergence: 1401.66242274. MSE: 0.722107542465.
Iteration 332. I-divergence: 1401.4237681. MSE: 0.721981583842.
Iteration 333. I-divergence: 1401.18583419. MSE: 0.721856006561.
Iteration 334. I-divergence: 1400.94861813. MSE: 0.721730809123.
Iteration 335. I-divergence: 1400.71211703. MSE: 0.721605990013.
Iteration 336. I-divergence: 1400.47632797. MSE: 0.7214815477.
Iteration 337. I-divergence: 1400.241248. MSE: 0.721357480643.
Iteration 338. I-divergence: 1400.00687415. MSE: 0.721233787283.
Iteration 339. I-divergence: 1399.77320342. MSE: 0.72111046605.
Iteration 340. I-divergence: 1399.54023279. MSE: 0.72098751536.
Iteration 341. I-divergence: 1399.30795923. MSE: 0.720864933615.
Iteration 342. I-divergence: 1399.07637965. MSE: 0.720742719207.
Iteration 343. I-divergence: 1398.84549098. MSE: 0.720620870515.
Iteration 344. I-divergence: 1398.6152901. MSE: 0.720499385903.
Iteration 345. I-divergence: 1398.38577388. MSE: 0.720378263729.
Iteration 346. I-divergence: 1398.15693918. MSE: 0.720257502335.
Iteration 347. I-divergence: 1397.92878282. MSE: 0.720137100054.
Iteration 348. I-divergence: 1397.70130161. MSE: 0.72001705521.
